date,RF,MktRF,SMB,HML,RMW,CMA
1963-07-31,0.0027,-0.0039000000000000003,-0.004699999999999999,-0.0083,0.0066,-0.0115
1963-08-31,0.0025,0.0507,-0.0079,0.0167,0.004,-0.004
1963-09-30,0.0027,-0.015700000000000002,-0.0048,0.0018,-0.0076,0.0024
1963-10-31,0.0029,0.0253,-0.0129,-0.001,0.0275,-0.022400000000000003
1963-11-30,0.0027,-0.0085,-0.0084,0.0171,-0.0045000000000000005,0.0222
1963-12-31,0.0029,0.0183,-0.0189,-0.0012,0.0007000000000000001,-0.003
1964-01-31,0.003,0.022400000000000003,0.0008,0.0159,0.0022,0.015
1964-02-29,0.0026,0.0154,0.0032,0.028300000000000002,0.0006,0.0085
1964-03-31,0.0031,0.0141,0.0141,0.0332,-0.020099999999999996,0.029300000000000003
1964-04-30,0.0029,0.001,-0.0152,-0.0055000000000000005,-0.013500000000000002,-0.0108
1964-05-31,0.0026,0.014199999999999999,-0.0068000000000000005,0.019799999999999998,-0.0026,0.0024
1964-06-30,0.003,0.0127,0.0009,0.0068000000000000005,-0.0042,0.0014000000000000002
1964-07-31,0.003,0.0174,0.0053,0.0068000000000000005,0.0014000000000000002,0.0184
1964-08-31,0.0028000000000000004,-0.0144,0.003,0.0009,0.0006,0.0036
1964-09-30,0.0028000000000000004,0.0269,-0.0031,0.0165,-0.0048,0.0058
1964-10-31,0.0029,0.0059,0.0088,0.011399999999999999,-0.0029,0.0048
1964-11-30,0.0029,0.0,-0.0027,-0.019799999999999998,0.006,-0.0016
1964-12-31,0.0031,0.0003,-0.0058,-0.0255,0.0113,-0.0163
1965-01-31,0.0028000000000000004,0.0354,0.024900000000000002,0.0018,0.0084,0.0011
1965-02-28,0.003,0.0044,0.0331,0.0022,0.004,-0.0069
1965-03-31,0.0036,-0.0134,0.0203,0.0109,-0.003,0.0073
1965-04-30,0.0031,0.0311,0.0118,0.0070999999999999995,0.0026,-0.023
1965-05-31,0.0031,-0.0077,0.0005,-0.0163,-0.0038,0.006999999999999999
1965-06-30,0.0034999999999999996,-0.055099999999999996,-0.043,0.0055000000000000005,0.0012,0.0040999999999999995
1965-07-31,0.0031,0.0143,0.0108,0.0218,-0.0141,-0.0002
1965-08-31,0.0033,0.0273,0.027200000000000002,-0.0096,0.0206,-0.0075
1965-09-30,0.0031,0.0286,0.0062,-0.001,-0.008199999999999999,0.008199999999999999
1965-10-31,0.0031,0.026000000000000002,0.0342,0.0152,0.012199999999999999,-0.0076
1965-11-30,0.0034999999999999996,-0.0003,0.0519,0.0021,-0.0106,-0.009000000000000001
1965-12-31,0.0033,0.0101,0.0264,0.0195,-0.0128,-0.0045000000000000005
1966-01-31,0.0038,0.0072,0.0472,0.0349,-0.028300000000000002,-0.0007000000000000001
1966-02-28,0.0034999999999999996,-0.0121,0.048600000000000004,0.0027,-0.0015,-0.0144
1966-03-31,0.0038,-0.025099999999999997,0.0022,-0.0207,0.013000000000000001,-0.0001
1966-04-30,0.0034000000000000002,0.021400000000000002,0.0336,-0.0054,0.0040999999999999995,-0.0091
1966-05-31,0.0040999999999999995,-0.056600000000000004,-0.0518,-0.0155,0.0166,-0.0152
1966-06-30,0.0038,-0.0144,0.0134,0.005,0.0006,0.008
1966-07-31,0.0034999999999999996,-0.0163,-0.005,0.0096,-0.0045000000000000005,0.0177
1966-08-31,0.0040999999999999995,-0.0791,-0.030299999999999997,0.004699999999999999,0.0005,0.0077
1966-09-30,0.004,-0.0106,-0.0118,0.0053,-0.0165,0.025
1966-10-31,0.0045000000000000005,0.038599999999999995,-0.0653,0.0287,-0.0364,0.042800000000000005
1966-11-30,0.004,0.013999999999999999,0.0337,-0.0446,0.0417,-0.0653
1966-12-31,0.004,0.0013,0.0191,-0.012199999999999999,0.0068000000000000005,-0.0013
1967-01-31,0.0043,0.0815,0.09,0.0222,0.0062,-0.0297
1967-02-28,0.0036,0.0078000000000000005,0.030299999999999997,-0.0217,0.0194,-0.009399999999999999
1967-03-31,0.0039000000000000003,0.039900000000000005,0.019,0.0031,0.009000000000000001,-0.0151
1967-04-30,0.0032,0.038900000000000004,0.0046,-0.0264,0.024300000000000002,-0.0375
1967-05-31,0.0033,-0.0433,0.023700000000000002,0.008,-0.0175,0.0161
1967-06-30,0.0027,0.0241,0.0646,0.0096,-0.0064,-0.0239
1967-07-31,0.0031,0.0458,0.0348,0.0265,0.0051,0.027200000000000002
1967-08-31,0.0031,-0.0089,0.0076,0.0146,0.0042,0.0141
1967-09-30,0.0032,0.0311,0.0246,-0.024700000000000003,0.0022,-0.0095
1967-10-31,0.0039000000000000003,-0.030899999999999997,0.004699999999999999,-0.0339,0.008100000000000001,-0.0255
1967-11-30,0.0036,0.0037,-0.0006,-0.0171,0.0129,-0.0229
1967-12-31,0.0033,0.0305,0.0575,-0.0039000000000000003,-0.0064,0.0003
1968-01-31,0.004,-0.0406,0.044800000000000006,0.0475,-0.0458,0.0645
1968-02-29,0.0039000000000000003,-0.0375,-0.0291,0.011699999999999999,-0.0014000000000000002,0.024900000000000002
1968-03-31,0.0038,0.002,-0.0152,-0.0059,0.011699999999999999,-0.0115
1968-04-30,0.0043,0.09050000000000001,0.0625,-0.0103,0.0279,-0.0366
1968-05-31,0.0045000000000000005,0.022799999999999997,0.0703,0.0084,0.0039000000000000003,-0.0182
1968-06-30,0.0043,0.0069,-0.0026,0.0067,-0.013300000000000001,0.0268
1968-07-31,0.0048,-0.027200000000000002,-0.013300000000000001,0.0548,-0.03,0.0361
1968-08-31,0.0042,0.0134,0.0229,0.01,-0.006,0.004
